Task ID,Assigned Employee,Similarity Level
715,Jessica Taylor,0.46302310591058365
907,Jessica Roberts,0.45284883572007517
899,Rachel Davis,0.5330067539213847
855,Kevin Baker,0.46681546799541596
575,sai panshul,0.5064579602904449
833,Brian Lewis,0.6896440979323019
802,Jessica Thompson,0.4860774691868599
454,sai panshul,0.8058541831032947
663,Jessica Taylor,0.5256061849396675
419,Tyler Walker,0.4768120249956761
315,Jessica Taylor,0.45206691193455717
572,Matthew Turner,0.44157846951707597
126,Amanda Young,0.47831960521901995
193,Brian Lewis,0.5249377098015822
246,Amanda Young,0.450657863816847
165,Christopher Lee,0.4719124264259528
795,sai panshul,0.6306683072959997
382,Andrew Taylor,0.4944413971318544
463,John Davis,0.3862446237278029
205,Christopher Lee,0.4945584061580784
155,Christina Martinez,0.6949760479136198
624,Michael Harris,0.6227152532763356
456,Rachel Johnson,0.44960061690192926
194,Kevin Baker,0.4329863864000357
320,Tyler Walker,0.4757554704485583
285,Rachel Davis,0.353070337193079
108,Michael Harris,0.4701381297024736
494,John Davis,0.3684845216529798
142,Samantha Turner,0.4377471383499651
420,Amanda Wright,0.6768809855096507
623,Tyler Walker,0.537406617335428
303,Olivia Phillips,0.4751600752041409
691,Harini,0.43863625064281336
696,Rachel Davis,0.315905851442243
270,Heather Anderson,0.37791748854038243
515,Kevin Martinez,0.35515125275697074
662,Rachel Hill,0.39951430274547206
853,Olivia Phillips,0.49219986625971823
321,John Davis,0.3695634327853221
